Modelo,R2_CV,R2_CV_std,R2_Test,RMSE_Log,MAE_Log,MSLE,RMSE_USD,MAE_USD,MAPE
OLS,0.6445896037800344,0.052101105665619214,0.562146371641226,0.7569216073427208,0.5703395284598606,0.5729298970674648,6687464.302193567,3850057.8279566797,58.91035227850862
Ridge,0.6599094422052746,0.06262635309072315,0.5878123492586462,0.7344021075260899,0.5473912459649568,0.5393460543287039,6708744.679373027,3721480.263272077,55.33904119028187
Lasso,0.6675572737802649,0.057582050248715,0.5809659002998324,0.7404762089168764,0.5544752607054866,0.5483046047978266,6843635.143826824,3778538.2725224146,56.48897187754156
Random Forest,0.6677189589754007,0.11248735353753771,0.5502586914940721,0.7671279670496856,0.546979622208565,0.5884848433873082,6334269.317035049,3580677.532481162,52.850181134835395
HistGradientBoosting,0.6737504927507575,0.09721394173512488,0.5585307547654994,0.7600403573645279,0.5518288048087137,0.5776608873610883,6394571.271586445,3678298.488845581,52.1780651922384
