Modelo,AUC_CV,Acuracia,Precisao,Recall,F1,AUC_Test
Logistica Lasso,0.7433071680015683,0.6868421052631579,0.7178571428571429,0.5583333333333333,0.628125,0.7670972222222222
Random Forest,0.7313943410314169,0.6894736842105263,0.7313432835820896,0.5444444444444444,0.6242038216560509,0.7514583333333333
