Modelo,AUC_CV,AUC_CV_std,Acuracia,Precisao,Recall,F1,AUC_Test,AUC_PR,Brier
Logistica Lasso,0.7074995911074278,0.030655430582462492,0.6657894736842105,0.6766666666666666,0.5638888888888889,0.6151515151515151,0.7051875,0.6693414904078521,0.21749770643412414
Random Forest,0.6967239181922377,0.03002496871379262,0.6592105263157895,0.6877323420074349,0.5138888888888888,0.5882352941176471,0.7062361111111112,0.6712995049563145,0.21818649575397206
HistGradientBoosting,0.6937160826549105,0.02910340224895827,0.6539473684210526,0.6830188679245283,0.5027777777777778,0.5792,0.6939965277777778,0.6614160352423617,0.22093919725903569
RF Calibrado,0.6918223082646063,0.03345585814329173,0.6605263157894737,0.6834532374100719,0.5277777777777778,0.5956112852664577,0.7098263888888889,0.6789785167766815,0.21782099396054375
