Cluster,Feature,Cluster_Mean,Other_Mean,Cluster_Std,Other_Std,t_stat,p_value,Cohens_d,Significant
0,Aces_pct,10.609759863689106,5.395404254018118,3.222673408408856,1.8028961950129254,9.251303402580676,5.267901783954029e-13,1.9741051846254523,True
0,Df_pct,4.03682542702274,3.5693421060214847,1.5470321092098733,0.9040225855817002,1.7135709340347416,0.09182506311257056,0.3647656852235184,False
0,FirstServe_In,60.825677071177665,62.795117165767195,2.6401346436320723,2.870844073651543,-3.4737483424141016,0.000790687990791521,-0.706680770396919,True
0,FirstServe_Win,75.01131226110593,69.98656357274446,2.40662986608725,2.608093263508972,9.737745064037645,1.0008424120121501e-15,1.9815457639762102,True
0,SecondServe_Win,52.08807720170902,51.95876352799546,2.1782637852263216,2.1036934774159186,0.290869475217115,0.771865405456189,0.05974971444740208,False
0,TotalPoints_Won,51.13786648077996,51.32169539406896,0.8377210694163179,1.2299227766702296,-0.8708741320322019,0.38600013808091105,-0.172968293062721,False
0,ReturnPoints_Won,36.46905934002817,39.64175863207751,1.6885190739553009,1.4329832300034946,-9.656630749684364,6.426639790080672e-15,-2.0040909503344957,True
0,vAces_pct,6.984706390152657,6.597523037728685,1.5948329341416805,1.4763066786525971,1.2093186030926129,0.23001539877981328,0.24926506110128446,False
0,v1stReturn_Win,28.84215644173207,31.674848531764216,1.741308886138569,1.7429047580882515,-7.85499822540379,1.0249780858769688e-11,-1.6088710514375502,True
0,v2ndReturn_Win,48.651731815845814,51.95376800918525,1.8578341015078783,1.4054781244172052,-9.470674072043902,3.2211862543085334e-14,-1.9824846648363352,True
0,BP_Saved_rate,0.5694466791767743,0.552464591441922,0.016410505904388317,0.017477262414077908,4.864516936042078,4.903868957001942e-06,0.9913038504092142,True
0,BP_Converted_rate,0.3952871122098611,0.4325664992989762,0.018746854977691883,0.015746263029877857,-10.25549299655912,5.014995828949738e-16,-2.1300714750826115,True
0,Serve_efficiency,2.7192611110876896,1.5393323943013244,0.8446176488997186,0.5542820790429566,7.72653866780002,9.727073757816719e-11,1.6331851943711324,True
0,Return_dominance,5.4309984311236335,6.2691351550592,1.3533931535258719,1.655791955963712,-2.7228624401029267,0.007711024414773828,-0.5486068116882956,True
0,Serve_consistency,31.705640258265344,32.63859788620471,2.21386560327869,2.1808774070492287,-2.0482925032776773,0.043603538613603526,-0.4200788326721483,True
0,BP_efficiency,0.5908095942247301,0.6633310660228035,0.03128221954391978,0.027268885409549005,-11.804543434605543,4.3182749251185866e-19,-2.444759273423173,True
0,Aces_pct_Hard,11.403934859562618,6.265417705556738,3.2826580240975995,2.0029004862613937,8.799140450371182,1.874020755050278e-12,1.8683363950369767,True
0,ReturnPoints_Won_Hard,36.08550770887989,38.09139563170474,1.7567809589913936,2.1690202258075275,-4.996506881014122,2.672304814744599e-06,-1.0059602880637604,True
0,Aces_pct_Grass,12.380393087908695,6.449548340997686,3.1741856708276743,2.30766723407309,10.068467874959282,3.581435045051588e-15,2.1135965974317528,True
0,ReturnPoints_Won_Grass,33.60246929580647,34.985879946858574,1.8898748087649428,2.8322660440188066,-2.8688387744620085,0.005070574041638427,-0.568917285513759,True
0,Aces_pct_Clay,7.747401933682304,3.9674581856396136,2.468032881750161,1.2649383526469589,8.888393966465443,3.171602290964974e-12,1.9052625113471364,True
0,ReturnPoints_Won_Clay,37.63592965372821,41.340772211359116,2.3739145048960464,1.8937473557897717,-8.18407667676053,5.9422147191733736e-12,-1.706496693754508,True
0,Aces_pct_Carpet,11.343147279549719,8.272090643274854,4.085165948909197,3.2543944789074617,3.943931417012765,0.0001810308620706664,0.8224503146165452,True
0,ReturnPoints_Won_Carpet,32.646479049405876,33.57677944862156,2.7151424110577818,2.9921579839130685,-1.5857454264254793,0.11627640082508936,-0.3222411880387001,False
1,Aces_pct,5.395404254018118,10.609759863689106,1.8028961950129254,3.222673408408856,-9.251303402580676,5.267901783954029e-13,-1.9741051846254523,True
1,Df_pct,3.5693421060214847,4.03682542702274,0.9040225855817002,1.5470321092098733,-1.7135709340347416,0.09182506311257056,-0.3647656852235184,False
1,FirstServe_In,62.795117165767195,60.825677071177665,2.870844073651543,2.6401346436320723,3.4737483424141016,0.000790687990791521,0.706680770396919,True
1,FirstServe_Win,69.98656357274446,75.01131226110593,2.608093263508972,2.40662986608725,-9.737745064037645,1.0008424120121501e-15,-1.9815457639762102,True
1,SecondServe_Win,51.95876352799546,52.08807720170902,2.1036934774159186,2.1782637852263216,-0.290869475217115,0.771865405456189,-0.05974971444740208,False
1,TotalPoints_Won,51.32169539406896,51.13786648077996,1.2299227766702296,0.8377210694163179,0.8708741320322019,0.38600013808091105,0.172968293062721,False
1,ReturnPoints_Won,39.64175863207751,36.46905934002817,1.4329832300034946,1.6885190739553009,9.656630749684364,6.426639790080672e-15,2.0040909503344957,True
1,vAces_pct,6.597523037728685,6.984706390152657,1.4763066786525971,1.5948329341416805,-1.2093186030926129,0.23001539877981328,-0.24926506110128446,False
1,v1stReturn_Win,31.674848531764216,28.84215644173207,1.7429047580882515,1.741308886138569,7.85499822540379,1.0249780858769688e-11,1.6088710514375502,True
1,v2ndReturn_Win,51.95376800918525,48.651731815845814,1.4054781244172052,1.8578341015078783,9.470674072043902,3.2211862543085334e-14,1.9824846648363352,True
1,BP_Saved_rate,0.552464591441922,0.5694466791767743,0.017477262414077908,0.016410505904388317,-4.864516936042078,4.903868957001942e-06,-0.9913038504092142,True
1,BP_Converted_rate,0.4325664992989762,0.3952871122098611,0.015746263029877857,0.018746854977691883,10.25549299655912,5.014995828949738e-16,2.1300714750826115,True
1,Serve_efficiency,1.5393323943013244,2.7192611110876896,0.5542820790429566,0.8446176488997186,-7.72653866780002,9.727073757816719e-11,-1.6331851943711324,True
1,Return_dominance,6.2691351550592,5.4309984311236335,1.655791955963712,1.3533931535258719,2.7228624401029267,0.007711024414773828,0.5486068116882956,True
1,Serve_consistency,32.63859788620471,31.705640258265344,2.1808774070492287,2.21386560327869,2.0482925032776773,0.043603538613603526,0.4200788326721483,True
1,BP_efficiency,0.6633310660228035,0.5908095942247301,0.027268885409549005,0.03128221954391978,11.804543434605543,4.3182749251185866e-19,2.444759273423173,True
1,Aces_pct_Hard,6.265417705556738,11.403934859562618,2.0029004862613937,3.2826580240975995,-8.799140450371182,1.874020755050278e-12,-1.8683363950369767,True
1,ReturnPoints_Won_Hard,38.09139563170474,36.08550770887989,2.1690202258075275,1.7567809589913936,4.996506881014122,2.672304814744599e-06,1.0059602880637604,True
1,Aces_pct_Grass,6.449548340997686,12.380393087908695,2.30766723407309,3.1741856708276743,-10.068467874959282,3.581435045051588e-15,-2.1135965974317528,True
1,ReturnPoints_Won_Grass,34.985879946858574,33.60246929580647,2.8322660440188066,1.8898748087649428,2.8688387744620085,0.005070574041638427,0.568917285513759,True
1,Aces_pct_Clay,3.9674581856396136,7.747401933682304,1.2649383526469589,2.468032881750161,-8.888393966465443,3.171602290964974e-12,-1.9052625113471364,True
1,ReturnPoints_Won_Clay,41.340772211359116,37.63592965372821,1.8937473557897717,2.3739145048960464,8.18407667676053,5.9422147191733736e-12,1.706496693754508,True
1,Aces_pct_Carpet,8.272090643274854,11.343147279549719,3.2543944789074617,4.085165948909197,-3.943931417012765,0.0001810308620706664,-0.8224503146165452,True
1,ReturnPoints_Won_Carpet,33.57677944862156,32.646479049405876,2.9921579839130685,2.7151424110577818,1.5857454264254793,0.11627640082508936,0.3222411880387001,False
