Age,GP,MP,PTS_per_GP,TRB_per_GP,AST_per_GP,STL_per_GP,BLK_per_GP,FG%,3P%,FT%,PER,TS%,USG%,WS,VORP,BPM,Position_Clean
29,32,15.0,0.1625,0.0875,0.021875,0.025,0.021875,0.565,0.371,0.667,14.5,0.646,13.6,1.4,0.4,1.4,SF
22,14,4.9,0.028571428571428574,0.03571428571428571,0.03571428571428571,0.014285714285714287,0.0071428571428571435,0.15,0.0,0.769,-5.0,0.15,16.6,-0.3,-0.2,-14.7,SF
23,7,5.9,0.18571428571428572,0.14285714285714285,0.08571428571428572,0.0,0.0,0.333,0.375,0.769,7.4,0.5,9.3,0.1,0.0,-3.4,SF
23,63,32.7,0.3492063492063492,0.07936507936507936,0.04603174603174603,0.01111111111111111,0.0031746031746031746,0.452,0.329,0.749,15.3,0.551,27.9,1.3,0.1,-1.8,SF
25,46,19.5,0.17173913043478262,0.05434782608695652,0.03043478260869565,0.010869565217391304,0.004347826086956522,0.369,0.316,0.847,8.6,0.496,19.0,0.0,-0.6,-4.5,SF
24,28,8.7,0.23214285714285715,0.08214285714285714,0.02142857142857143,0.0035714285714285718,0.0035714285714285718,0.543,0.359,0.788,23.0,0.652,26.9,1.1,0.1,-0.4,C
30,7,15.6,1.0,0.4428571428571429,0.18571428571428572,0.04285714285714286,0.1285714285714286,0.477,0.182,0.417,14.2,0.497,20.1,0.1,0.0,-1.4,C
27,23,4.7,0.0391304347826087,0.03043478260869565,0.017391304347826087,0.008695652173913044,0.008695652173913044,0.259,0.25,0.5,6.3,0.359,12.2,0.1,0.0,-2.6,SF
21,35,11.8,0.08571428571428572,0.05142857142857143,0.017142857142857144,0.008571428571428572,0.002857142857142857,0.389,0.338,0.778,6.7,0.531,11.7,0.5,-0.2,-3.5,PF
32,33,17.2,0.1575757575757576,0.06363636363636364,0.10606060606060606,0.024242424242424242,0.006060606060606061,0.343,0.256,0.8,10.4,0.442,17.7,0.7,-0.1,-2.8,PG
23,69,10.9,0.06086956521739131,0.05507246376811594,0.005797101449275362,0.010144927536231883,0.010144927536231883,0.593,0.167,0.745,19.2,0.62,16.4,2.8,0.4,-0.1,C
22,60,25.7,0.15166666666666667,0.05,0.028333333333333332,0.011666666666666665,0.0016666666666666668,0.537,0.402,0.723,11.2,0.645,14.6,2.6,-0.2,-2.4,SG
22,34,15.1,0.16470588235294117,0.061764705882352944,0.03529411764705882,0.011764705882352941,0.0029411764705882353,0.358,0.303,0.667,6.2,0.463,19.5,-0.4,-0.6,-6.5,SG
29,42,8.3,0.07380952380952381,0.04523809523809524,0.004761904761904762,0.002380952380952381,0.007142857142857143,0.618,0.625,0.789,12.9,0.668,13.7,0.8,-0.1,-2.9,C
31,63,15.0,0.09682539682539681,0.050793650793650794,0.012698412698412698,0.0031746031746031746,0.006349206349206349,0.449,0.391,0.769,13.0,0.608,15.1,2.5,0.4,-0.4,C
30,22,16.7,0.20909090909090908,0.1409090909090909,0.06363636363636363,0.045454545454545456,0.009090909090909092,0.594,0.5,0.857,13.3,0.701,10.3,1.0,0.2,0.3,SG
23,82,30.0,0.24878048780487802,0.032926829268292684,0.054878048780487805,0.00975609756097561,0.0036585365853658534,0.43,0.336,0.87,14.6,0.573,29.2,3.2,0.1,-1.9,PG
30,50,24.4,0.14800000000000002,0.07200000000000001,0.078,0.036000000000000004,0.006,0.474,0.345,0.867,16.3,0.581,12.9,3.7,1.7,3.4,PG
23,5,25.4,2.12,0.6,0.4,0.12,0.08,0.615,0.375,0.667,15.5,0.657,15.2,0.3,0.0,-3.0,SG
22,36,10.7,0.07777777777777778,0.04722222222222222,0.016666666666666666,0.011111111111111112,0.005555555555555556,0.387,0.309,0.733,8.4,0.502,12.7,0.4,-0.2,-3.9,SF
23,74,30.7,0.18513513513513513,0.06216216216216216,0.02837837837837838,0.013513513513513514,0.004054054054054054,0.388,0.33,0.772,11.3,0.513,19.8,2.9,-0.6,-3.0,SF
23,78,24.1,0.10128205128205128,0.09615384615384616,0.030769230769230767,0.014102564102564105,0.003846153846153846,0.548,0.322,0.691,15.1,0.604,13.6,5.2,1.5,1.1,PF
30,20,8.1,0.11000000000000001,0.065,0.02,0.015,0.015,0.594,0.5,0.8,9.4,0.629,11.1,0.2,-0.1,-3.5,C
28,22,25.8,0.6,0.20454545454545456,0.2545454545454545,0.05,0.022727272727272728,0.537,0.472,0.774,19.1,0.606,20.2,1.9,0.6,2.4,PG
19,56,26.0,0.19642857142857142,0.09464285714285714,0.044642857142857144,0.014285714285714287,0.0071428571428571435,0.453,0.246,0.698,11.4,0.509,19.8,0.2,-0.7,-4.0,PF
26,74,36.4,0.27702702702702703,0.07162162162162163,0.08243243243243242,0.02027027027027027,0.004054054054054054,0.464,0.344,0.832,17.0,0.54,24.4,4.7,2.1,1.0,SG
19,28,14.6,0.1392857142857143,0.1285714285714286,0.03214285714285715,0.014285714285714287,0.024999999999999998,0.535,0.0,0.72,12.4,0.567,11.3,0.7,-0.3,-4.6,PF
21,67,17.7,0.11492537313432837,0.034328358208955224,0.026865671641791045,0.008955223880597015,0.0029850746268656717,0.393,0.315,0.764,10.0,0.492,20.7,0.5,-0.6,-3.9,PG
24,23,12.0,0.09999999999999999,0.06956521739130435,0.07391304347826087,0.013043478260869565,0.004347826086956522,0.417,0.0,0.667,6.1,0.424,11.6,-0.1,-0.2,-5.1,SG
22,65,20.2,0.1646153846153846,0.04923076923076923,0.05846153846153846,0.00923076923076923,0.006153846153846154,0.419,0.286,0.75,13.7,0.508,25.9,0.8,0.2,-1.6,SG
42,7,10.1,0.5571428571428572,0.2285714285714286,0.0,0.014285714285714287,0.04285714285714286,0.345,0.333,0.8,6.2,0.433,20.1,0.0,-0.2,-12.1,C
21,70,18.0,0.09571428571428571,0.04,0.011428571428571429,0.005714285714285714,0.004285714285714286,0.429,0.307,0.631,8.8,0.519,16.7,1.1,-0.6,-3.9,PF
36,52,15.8,0.06538461538461539,0.04230769230769231,0.01346153846153846,0.007692307692307693,0.005769230769230769,0.363,0.315,0.857,7.0,0.519,9.8,1.2,-0.1,-2.7,SF
25,80,23.9,0.11750000000000001,0.05375,0.02,0.0125,0.005,0.455,0.332,0.841,11.8,0.557,17.2,2.7,-0.1,-2.1,SF
31,62,19.8,0.11129032258064517,0.027419354838709678,0.056451612903225805,0.008064516129032258,0.0016129032258064516,0.427,0.389,0.792,12.1,0.558,15.2,1.8,0.2,-1.5,PG
26,29,26.8,0.23448275862068965,0.1724137931034483,0.11724137931034483,0.034482758620689655,0.013793103448275864,0.409,0.311,0.714,9.3,0.466,14.2,0.4,-0.2,-2.8,PF
27,4,6.0,0.0,0.5,0.125,0.2,0.0,0.0,0.0,0.769,7.0,0.0,7.0,0.0,0.0,-3.3,SF
26,16,4.9,0.0875,0.05625,0.0375,0.025,0.00625,0.303,0.125,0.769,5.2,0.333,20.6,-0.2,-0.1,-7.8,SF
20,57,16.0,0.07017543859649122,0.02982456140350877,0.04035087719298245,0.008771929824561403,0.0017543859649122807,0.342,0.286,0.667,5.3,0.447,15.4,-1.2,-1.0,-6.5,PG
34,62,20.0,0.132258064516129,0.1032258064516129,0.03064516129032258,0.004838709677419355,0.0032258064516129032,0.389,0.334,0.879,13.1,0.548,19.2,2.6,0.8,0.6,PF
29,69,28.4,0.13623188405797101,0.07681159420289854,0.07101449275362319,0.01594202898550725,0.013043478260869566,0.509,0.41,0.735,14.8,0.583,14.4,5.1,2.2,2.5,PF
25,38,7.7,0.09736842105263159,0.039473684210526314,0.007894736842105263,0.007894736842105263,0.005263157894736842,0.568,0.364,0.684,14.5,0.655,18.7,0.7,-0.1,-3.2,C
25,71,16.9,0.05774647887323943,0.028169014084507043,0.009859154929577464,0.016901408450704224,0.007042253521126761,0.435,0.365,0.679,10.5,0.552,10.6,2.1,0.4,-0.5,SF
26,22,8.0,0.11818181818181818,0.06363636363636363,0.018181818181818184,0.009090909090909092,0.018181818181818184,0.48,0.333,1.0,9.0,0.56,16.0,0.2,-0.1,-3.4,C
37,49,9.8,0.06938775510204082,0.03877551020408163,0.014285714285714285,0.006122448979591836,0.004081632653061225,0.52,0.333,0.714,11.4,0.585,15.3,0.8,-0.1,-3.2,C
26,83,35.7,0.2421686746987952,0.05301204819277109,0.03975903614457831,0.013253012048192772,0.008433734939759036,0.468,0.382,0.895,16.8,0.587,22.6,7.5,2.8,1.7,SF
20,72,33.8,0.2777777777777778,0.09583333333333334,0.051388888888888894,0.011111111111111112,0.006944444444444444,0.427,0.298,0.738,14.9,0.529,27.5,2.4,0.3,-1.5,PF
26,30,15.6,0.19333333333333333,0.10666666666666667,0.07333333333333333,0.016666666666666666,0.006666666666666667,0.533,0.45,0.667,13.5,0.625,15.2,0.7,0.1,-1.0,SF
23,1,35.0,16.0,9.0,7.0,0.0,1.0,0.5,0.4,1.0,15.5,0.621,21.4,0.1,0.0,-2.0,PF
31,52,33.6,0.45769230769230773,0.125,0.075,0.02692307692307692,0.009615384615384616,0.512,0.416,0.871,23.9,0.623,27.0,7.1,3.5,6.1,SF
24,70,18.5,0.09714285714285714,0.04285714285714286,0.015714285714285715,0.008571428571428572,0.002857142857142857,0.512,0.393,0.831,12.2,0.607,14.5,2.6,0.0,-2.1,SG
27,40,8.1,0.06,0.04,0.03,0.005,0.0,0.356,0.355,0.846,10.1,0.512,14.7,0.5,-0.1,-3.4,SG
20,74,31.1,0.22027027027027027,0.0527027027027027,0.07027027027027027,0.010810810810810811,0.002702702702702703,0.416,0.343,0.747,12.1,0.528,25.4,0.0,-0.7,-3.3,SG
26,82,23.9,0.08536585365853659,0.11341463414634147,0.03048780487804878,0.007317073170731707,0.007317073170731707,0.63,0.0,0.606,17.8,0.639,10.6,8.7,2.0,2.1,C
33,46,15.3,0.09782608695652174,0.02608695652173913,0.01956521739130435,0.008695652173913044,0.008695652173913044,0.377,0.322,0.625,6.6,0.494,14.1,0.1,-0.3,-3.9,SF
23,67,34.9,0.30000000000000004,0.08059701492537313,0.06268656716417911,0.011940298507462687,0.0029850746268656717,0.439,0.378,0.934,15.3,0.566,25.6,3.5,1.6,0.6,SG
32,69,33.0,0.3173913043478261,0.05942028985507246,0.034782608695652174,0.010144927536231883,0.005797101449275362,0.436,0.412,0.879,14.7,0.576,26.4,3.1,1.0,-0.3,SF
23,31,8.5,0.0935483870967742,0.04838709677419355,0.00967741935483871,0.0032258064516129032,0.0064516129032258064,0.52,0.263,0.545,11.0,0.557,14.2,0.3,-0.1,-4.1,PF
29,65,23.5,0.15538461538461537,0.04153846153846154,0.04153846153846154,0.016923076923076926,0.004615384615384615,0.431,0.365,0.852,12.3,0.555,18.4,1.8,0.3,-1.2,SG
33,65,28.1,0.1723076923076923,0.06153846153846154,0.027692307692307693,0.00923076923076923,0.004615384615384615,0.426,0.364,0.782,10.5,0.534,17.6,2.0,0.0,-1.9,PF
25,75,34.6,0.27199999999999996,0.12266666666666666,0.04266666666666667,0.016,0.010666666666666668,0.54,0.083,0.806,20.1,0.592,25.2,7.4,2.3,1.5,C
26,4,7.5,0.45,0.625,0.075,0.075,0.0,0.5,0.0,0.5,4.3,0.509,15.0,-0.1,-0.1,-9.1,PF
26,80,28.5,0.14375,0.05125,0.042499999999999996,0.013750000000000002,0.0075,0.483,0.358,0.758,13.3,0.571,17.8,4.3,0.9,-0.5,SF
26,1,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3445,0.769,-2.2,1.0,30.1,0.0,0.0,-22.6,PF
21,74,23.0,0.12432432432432432,0.11351351351351352,0.012162162162162163,0.005405405405405406,0.03108108108108108,0.72,0.333,0.516,21.5,0.702,13.3,7.1,2.1,2.9,C
25,37,9.5,0.1027027027027027,0.02972972972972973,0.016216216216216217,0.008108108108108109,0.002702702702702703,0.432,0.391,0.722,9.3,0.552,19.1,0.1,-0.2,-4.4,SG
26,3,2.7,1.0,0.2333333333333333,0.0,0.0,0.0,0.8,0.5,0.769,45.5,0.9,28.3,0.1,0.0,17.8,SF
25,66,10.4,0.07424242424242425,0.045454545454545456,0.00909090909090909,0.004545454545454545,0.004545454545454545,0.589,0.237,0.74,17.3,0.639,17.6,2.1,0.3,-0.1,PF
26,5,11.8,1.0,0.36,0.2,0.16,0.0,0.409,0.278,1.0,15.5,0.546,17.3,0.2,0.0,1.2,SG
36,25,6.5,0.08,0.027999999999999997,0.02,0.016,0.004,0.4,0.423,0.75,10.5,0.535,13.4,0.3,0.0,-1.0,SG
29,76,31.3,0.14210526315789473,0.035526315789473684,0.031578947368421054,0.019736842105263157,0.006578947368421052,0.462,0.423,0.824,11.5,0.598,14.1,4.5,0.6,-1.0,SG
33,38,11.2,0.1368421052631579,0.09210526315789473,0.018421052631578946,0.005263157894736842,0.013157894736842105,0.51,0.308,0.673,15.5,0.577,20.6,1.0,0.0,-1.6,C
21,53,23.5,0.1867924528301887,0.05660377358490566,0.05471698113207547,0.024528301886792454,0.009433962264150943,0.419,0.327,0.723,12.5,0.528,20.3,1.4,0.3,-1.0,SG
23,73,24.9,0.13835616438356163,0.05205479452054794,0.01780821917808219,0.010958904109589041,0.00684931506849315,0.427,0.366,0.838,10.5,0.566,16.8,2.0,-0.4,-3.0,SF
24,77,27.9,0.13116883116883116,0.053246753246753244,0.03376623376623377,0.02077922077922078,0.006493506493506494,0.425,0.39,0.793,12.7,0.566,16.4,4.2,1.6,0.9,SG
34,73,29.1,0.21780821917808219,0.07945205479452054,0.10273972602739725,0.0136986301369863,0.00684931506849315,0.436,0.311,0.656,16.1,0.513,27.7,1.9,1.2,0.2,PG
31,64,20.5,0.159375,0.034375,0.021875,0.003125,0.0015625,0.457,0.413,0.757,11.2,0.59,19.2,1.0,-0.4,-3.2,SF
22,62,19.1,0.11935483870967742,0.06129032258064516,0.03387096774193549,0.008064516129032258,0.0032258064516129032,0.56,0.391,0.72,13.6,0.625,16.1,2.1,0.1,-1.8,PF
29,42,27.0,0.20476190476190476,0.27380952380952384,0.054761904761904755,0.02142857142857143,0.02619047619047619,0.597,0.0,0.364,17.5,0.564,14.6,3.4,0.7,0.6,C
23,55,20.7,0.16727272727272727,0.10909090909090909,0.016363636363636365,0.010909090909090908,0.00909090909090909,0.485,0.269,0.702,15.2,0.554,19.4,2.2,-0.1,-2.3,C
31,51,22.0,0.25098039215686274,0.060784313725490195,0.04313725490196079,0.013725490196078431,0.00392156862745098,0.436,0.414,0.814,16.5,0.602,22.8,2.5,0.9,1.2,SG
27,5,1.8,0.2,0.12,0.0,0.0,0.0,0.5,0.333,0.769,15.4,0.625,19.7,0.0,0.0,2.4,SF
28,48,24.7,0.1729166666666667,0.041666666666666664,0.024999999999999998,0.01875,0.0062499999999999995,0.45,0.431,0.9,10.5,0.62,12.6,2.3,0.4,-0.7,SG
32,61,19.9,0.15081967213114753,0.02622950819672131,0.02622950819672131,0.009836065573770491,0.001639344262295082,0.463,0.405,0.927,12.3,0.593,19.2,1.8,0.0,-2.1,SG
26,54,17.9,0.08148148148148149,0.06481481481481481,0.014814814814814815,0.012962962962962963,0.005555555555555556,0.431,0.339,0.464,8.5,0.517,12.5,0.9,-0.3,-3.1,PF
23,35,7.1,0.037142857142857144,0.02857142857142857,0.011428571428571429,0.005714285714285714,0.005714285714285714,0.421,0.333,0.875,6.2,0.554,8.4,0.3,-0.1,-3.2,PF
23,1,5.0,0.0,1.0,0.0,0.0,0.0,0.455,0.3445,0.769,-20.9,0.567,17.7,-0.1,0.0,-26.5,SG
27,64,35.0,0.33125,0.1125,0.0578125,0.009375,0.0078125,0.448,0.333,0.73,14.3,0.544,27.9,0.9,0.2,-1.7,PF
24,42,11.3,0.0976190476190476,0.05952380952380952,0.02142857142857143,0.009523809523809525,0.004761904761904762,0.432,0.3,0.488,9.3,0.497,17.8,-0.1,-0.3,-4.6,PF
30,27,17.0,0.22592592592592592,0.06666666666666667,0.04814814814814815,0.022222222222222223,0.003703703703703704,0.337,0.307,0.857,6.9,0.471,18.4,0.1,-0.2,-4.0,SG
32,67,32.6,0.28805970149253735,0.07611940298507462,0.11044776119402985,0.01791044776119403,0.005970149253731343,0.479,0.384,0.859,19.2,0.586,25.0,6.7,2.8,3.1,PG
24,74,36.9,0.40675675675675677,0.11891891891891893,0.06216216216216216,0.014864864864864866,0.009459459459459458,0.466,0.35,0.854,23.7,0.607,32.7,10.5,5.1,5.5,SF
21,79,34.4,0.2050632911392405,0.11392405063291139,0.03544303797468354,0.010126582278481013,0.0189873417721519,0.554,0.216,0.674,17.9,0.591,20.2,8.5,2.5,1.7,PF
31,78,30.3,0.09230769230769231,0.046153846153846156,0.017948717948717947,0.008974358974358974,0.002564102564102564,0.409,0.38,0.703,7.7,0.577,10.0,2.8,-0.4,-2.6,SF
30,61,23.7,0.12459016393442622,0.07540983606557376,0.021311475409836068,0.009836065573770491,0.003278688524590164,0.392,0.339,0.659,10.0,0.531,13.8,2.5,0.3,-1.0,SF
25,45,18.1,0.15333333333333335,0.03777777777777778,0.06666666666666667,0.011111111111111112,0.0022222222222222222,0.488,0.389,0.927,12.8,0.594,14.9,2.1,0.3,-0.8,SG
20,67,20.8,0.14776119402985075,0.050746268656716415,0.02835820895522388,0.008955223880597015,0.007462686567164179,0.525,0.37,0.652,13.3,0.597,19.6,2.4,0.1,-1.7,PF
28,65,26.6,0.18461538461538463,0.16923076923076924,0.013846153846153847,0.010769230769230769,0.01846153846153846,0.653,0.0,0.603,22.1,0.656,15.7,7.2,1.8,2.2,C
20,38,5.6,0.05789473684210527,0.02631578947368421,0.015789473684210527,0.007894736842105263,0.002631578947368421,0.444,0.259,0.667,14.1,0.523,18.4,0.5,0.1,0.0,SG
19,66,23.5,0.15454545454545454,0.04090909090909091,0.028787878787878786,0.007575757575757576,0.0015151515151515152,0.44,0.302,0.829,9.5,0.524,19.1,-0.1,-1.3,-5.2,SG
29,57,11.9,0.09824561403508772,0.04912280701754386,0.010526315789473684,0.005263157894736842,0.007017543859649123,0.598,0.0,0.693,17.6,0.631,18.9,2.2,0.1,-1.3,C
