Modelo,R2_CV,R2_Test,RMSE_Log,MAE_Log,RMSE_USD,MAE_USD,MAPE
OLS,0.2791909254736974,0.6687269757438912,0.9939922088704668,0.7588579391368574,7995658.5293799685,4820123.964571282,136.09263903454848
Ridge,0.6390252961640278,0.626503121467038,1.0554397155098858,0.7870494671171194,7949589.428705393,4684855.004472051,163.70772609901653
Lasso,0.6471382531495464,0.604837115241715,1.085620455175576,0.80750083506643,8303873.955623947,4861437.586319964,186.58152342615872
Random Forest,0.7005290710167347,0.7090019089286506,0.9316118715005094,0.6929679044909004,6745905.043346865,4036764.1765406434,99.55332828520856
