Name,Aces_pct,Df_pct,FirstServe_In,FirstServe_Win,SecondServe_Win,BP_Saved_rate,TotalPoints_Won,ReturnPoints_Won,vAces_pct,v1stReturn_Win,v2ndReturn_Win,BP_Converted_rate,Aces_pct_Hard,Df_pct_Hard,FirstServe_Win_Hard,SecondServe_Win_Hard,ReturnPoints_Won_Hard,vAces_pct_Hard,v1stReturn_Win_Hard,v2ndReturn_Win_Hard,Aces_pct_Grass,Df_pct_Grass,FirstServe_Win_Grass,SecondServe_Win_Grass,ReturnPoints_Won_Grass,vAces_pct_Grass,v1stReturn_Win_Grass,v2ndReturn_Win_Grass,Aces_pct_Clay,Df_pct_Clay,FirstServe_Win_Clay,SecondServe_Win_Clay,ReturnPoints_Won_Clay,vAces_pct_Clay,v1stReturn_Win_Clay,v2ndReturn_Win_Clay,Aces_pct_Carpet,Df_pct_Carpet,FirstServe_Win_Carpet,SecondServe_Win_Carpet,ReturnPoints_Won_Carpet,vAces_pct_Carpet,v1stReturn_Win_Carpet,v2ndReturn_Win_Carpet,name,number_of_matches,playing_years,Serve_efficiency,Return_dominance,Serve_consistency,BP_efficiency,Hard_Clay_specialization,Cluster_KMeans,Cluster_GMM,GMM_max_prob,Cluster_DBSCAN,Cluster_Hier,Rk_avg,Dist_Centroid
Adrian Mannarino,6.593224043715847,3.2507103825136614,60.323060109289614,70.78480874316939,52.284918032786884,0.5306227583787214,50.47259825327511,37.74912663755458,8.787445414847161,29.432423580786025,50.702401746724895,0.42916504529940874,7.163003095975233,3.2298761609907123,72.08544891640867,53.10232198142415,38.227975270479135,9.048222565687789,29.655950540958273,51.44605873261205,6.781818181818181,3.5895104895104892,71.8986013986014,51.87202797202797,36.12027972027972,10.456643356643356,27.43076923076923,50.33496503496503,3.468,2.9616,62.8816,48.5808,37.1728,5.4952,30.610400000000002,47.308,2.2,4.4,59.2,46.3,32.9,12.9,23.8,46.4,Adrian Mannarino,80,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",1.9677093186340062,4.247466496333329,31.539862533010837,0.6805416385586152,2.007568132280054,1,1,1.0,0,1,137.8811544991511,3.765233247030979
Albert Ramos,3.935287958115183,3.04261780104712,63.07267015706807,68.01947643979058,51.56,0.5674263884898647,50.61298429319372,39.38157068062827,6.298010471204189,31.54303664921466,51.420732984293195,0.42953948351843774,5.0477366255144025,3.5971193415637863,68.56995884773663,50.74650205761317,34.83909465020576,9.217283950617285,25.664197530864197,48.85390946502058,5.157692307692307,3.7615384615384615,66.46923076923078,49.20769230769231,31.315384615384616,10.873076923076923,22.47307692307692,45.80769230769231,3.4948979591836733,2.8189504373177843,67.8832361516035,51.93731778425656,41.296355685131196,5.090524781341108,33.96924198250729,52.542711370262396,9.45,,,,33.36666666666667,,,,Albert Ramos,43,"[2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",1.2522324403571905,6.15528387424101,32.5202687329843,0.6435758173876288,1.4041390556355704,1,1,1.0,0,1,168.4881154499151,2.5794039915835296
Alejandro Davidovich Fokina,3.8385245901639347,3.37103825136612,66.10628415300548,67.074043715847,51.35382513661202,0.5403381204499689,51.087704918032784,40.471311475409834,6.690163934426229,32.91393442622951,52.13387978142077,0.4514041780232208,4.760512820512821,3.1307692307692307,68.08,51.29282051282051,39.15435897435898,8.394871794871795,30.99948717948718,51.29794871794872,5.042857142857143,3.6142857142857148,67.68095238095238,54.328571428571436,35.82380952380952,8.633333333333335,26.423809523809524,50.971428571428575,2.4713333333333334,3.6493333333333333,65.68133333333334,51.016666666666666,42.834,4.202,36.31133333333333,53.38333333333333,9.45,,,,33.36666666666667,,,,Alejandro Davidovich Fokina,54,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",1.1058721662468516,5.960284886528248,33.9481055682463,0.7049465955673806,1.8513791109072415,1,1,1.0,0,1,236.15158371040724,2.544076684634375
Alejandro Tabilo,7.575280898876405,4.58876404494382,62.05337078651685,72.34269662921348,49.46797752808988,0.5602849311638489,51.708146067415726,39.85421348314607,7.639325842696629,32.09353932584269,52.53679775280899,0.4365738054539277,10.020491803278688,4.859016393442623,73.30901639344263,49.91803278688525,37.79344262295082,10.239344262295083,29.096721311475413,51.76065573770492,8.868181818181817,4.75,76.3409090909091,49.66818181818182,33.27727272727273,10.75,24.086363636363636,47.83636363636364,6.033962264150944,4.416509433962264,71.37169811320754,49.18820754716981,41.72264150943396,5.820283018867925,34.64905660377359,53.471226415094335,9.45,,,,33.36666666666667,,,,Alejandro Tabilo,20,"[2020, 2021, 2022, 2024]",1.6156242511382701,5.149571718931475,30.696547516096448,0.661190017897883,1.6336083222816686,1,1,0.9999999997633404,0,1,386.79007633587787,2.770645935687738
Alex De Minaur,4.934927234927234,3.3902286902286902,58.706029106029106,71.23700623700624,53.53076923076923,0.547123859945365,51.79313929313929,40.06923076923077,6.1891891891891895,31.876923076923074,52.56923076923077,0.4343553281693315,5.40273556231003,3.302431610942249,71.89969604863222,53.25987841945289,39.782978723404256,6.899392097264438,31.135866261398178,52.75957446808511,5.002777777777777,3.990277777777778,73.62777777777778,56.05277777777778,40.645833333333336,6.168055555555556,32.604166666666664,53.09444444444445,2.95,3.2112499999999997,66.36,52.375,40.7275,3.2875,34.269999999999996,51.313750000000006,9.45,,,,33.36666666666667,,,,Alex De Minaur,113,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",1.4139266142482723,6.371128227166045,31.425788965296658,0.6712089524963628,1.7713887089541083,1,1,1.0,0,1,148.21376811594203,3.0543121145773626
Alexander Bublik,14.430470347648262,8.423312883435583,58.78895705521472,75.93251533742331,45.458486707566465,0.5684610936778594,49.98916155419223,36.36564417177914,5.908997955010225,29.642126789366053,47.37075664621677,0.40616886492331705,14.58924418604651,8.551744186046513,76.35377906976744,45.56046511627907,36.47877906976744,6.041279069767441,29.765988372093023,47.53691860465116,19.095454545454544,8.157575757575756,78.75757575757575,47.70151515151515,35.64393939393939,7.380303030303031,27.71818181818182,48.304545454545455,9.841772151898734,8.086075949367087,71.73797468354431,43.140506329113926,36.4759493670886,4.10379746835443,30.71012658227848,45.86708860759494,9.45,,,,33.36666666666667,,,,Alexander Bublik,75,"[2016, 2017, 2019, 2020, 2021, 2022, 2023, 2024]",1.6930588545790446,6.0518649605227335,26.724570228461744,0.6076178086724303,1.4674691758310088,0,0,1.0,-1,0,187.22719449225474,6.164742440133004
Alexander Zverev,10.629055007052186,4.608603667136812,65.87630465444288,74.71678420310296,51.395627644569814,0.5442883963093498,52.359943582510574,38.72722143864598,5.687729196050776,30.654160789844852,51.3098730606488,0.42991064200422524,11.562953995157384,4.700242130750605,75.71573849878935,51.50193704600484,37.79370460048426,6.738256658595642,29.15762711864407,50.962953995157385,13.484745762711865,4.077966101694916,78.5677966101695,52.271186440677965,35.962711864406785,7.747457627118645,27.73728813559322,49.544067796610165,8.29071729957806,4.5810126582278485,72.01729957805907,50.992405063291145,41.042194092827,3.3443037974683545,33.98818565400844,52.35400843881856,9.45,,,,33.36666666666667,,,,Alexander Zverev,281,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2.2573687994248743,6.6912635555014015,33.857540246199875,0.6672642941683636,1.3780650190346475,1,1,1.0,0,0,91.86666666666666,4.1114236538817135
Alexei Popyrin,10.194430992736079,4.330992736077482,60.20338983050848,74.46189320388349,50.74624697336562,0.5742354543255412,50.36594202898551,35.41545893719807,7.2903381642512075,27.55869565217391,47.747941888619856,0.39700432475929404,11.068076923076923,4.599230769230769,75.01042471042472,50.95884615384615,35.291954022988506,7.876628352490422,27.17816091954023,47.56384615384616,12.888095238095238,2.8857142857142857,76.42380952380952,53.23571428571429,31.89761904761905,9.383333333333335,22.433333333333334,47.7,7.128828828828828,4.24954954954955,72.43963963963964,49.306306306306304,37.03693693693694,5.11981981981982,30.392792792792793,48.1972972972973,9.45,,,,33.36666666666667,,,,Alexei Popyrin,27,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",2.3007103825136617,4.792129690155576,30.550960889727918,0.5888214898998895,1.5311023659789864,0,0,0.9999999999999885,0,0,233.73127753303964,1.867422593733587
Andrey Rublev,8.915683229813665,3.4118012422360247,60.34767080745342,75.25031055900621,51.311180124223604,0.5765242504511152,51.85403726708075,38.63354037267081,9.0,29.75978260869565,52.51350931677018,0.4142063477580832,10.088461538461539,3.643212669683258,76.40859728506787,51.35678733031674,38.31674208144796,10.04027149321267,28.7789592760181,52.994343891402714,9.048484848484849,2.06969696969697,74.79393939393938,52.875757575757575,36.487878787878785,11.327272727272728,27.54848484848485,51.25151515151515,5.782738095238095,3.0464285714285717,72.35119047619048,50.891666666666666,39.90595238095238,5.774404761904762,32.81964285714285,51.50357142857143,12.5,6.8,65.4,50.0,35.7,14.3,22.2,51.3,Andrey Rublev,188,"[2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2.5387778563848604,4.2454439969967925,30.965102068785928,0.6122564674982235,1.7149261747055942,0,0,0.9999999999061631,0,0,106.69220055710306,3.7256851714884367
Arthur Fils,7.134761904761905,4.366666666666666,61.271904761904764,72.79238095238095,51.241904761904756,0.5731045001528194,51.37962085308057,38.21090047393365,6.457345971563981,30.269668246445494,50.26398104265403,0.41477264801659913,8.915454545454546,4.288181818181818,75.40181818181819,51.27090909090909,36.3,8.084684684684685,27.216216216216218,50.449549549549545,8.226666666666667,4.806666666666667,76.76,54.17333333333333,33.92666666666666,8.386666666666667,24.446666666666665,46.84,4.6376470588235295,4.390588235294118,68.71529411764706,50.687058823529405,41.46235294117647,3.991764705882353,35.28470588235294,50.625882352941176,9.45,,,,33.36666666666667,,,,Arthur Fils,40,"[2021, 2023, 2024]",1.5973347547974417,5.827189939288812,31.396891083900222,0.6162084014033936,1.881831726753505,1,0,0.9999999998293263,0,0,318.1309523809524,2.802547082185192
